  0.3333333       13.88692    
  0.6666667       5.950167    
   1.000000       6.683536    
   1.333333       10.24735    
   1.666667       10.36238    
   2.000000       14.12391    
   2.333333       16.39570    
   2.666667       17.18639    
   3.000000       16.92457    
   3.333333       8.377715    
   3.666667       12.06355    
   4.000000       16.34982    
   4.333333       10.91275    
   4.666667       15.25984    
   5.000000       18.07170    
   5.333333       17.71220    
   5.666667       14.09950    
   6.000000       17.38665    
   6.333333       18.79847    
   6.666667       18.78257    
   7.000000       21.39024    
   7.333333       18.13362    
   7.666667       14.30064    
   8.000000       20.25991    
   8.333333       17.59073    
   8.666667       18.86269    
   9.000000       19.32351    
   9.333333       18.35460    
   9.666667       14.96500    
   10.00000       20.24617    
   10.33333       23.14320    
   10.66667       25.66084    
   11.00000       18.37125    
   11.33333       25.18838    
   11.66667       18.72927    
   12.00000       22.84274    
   12.33333       26.13207    
   12.66667       25.22207    
   13.00000       19.70665    
   13.33333       26.37534    
   13.66667       22.28872    
   14.00000       22.61683    
   14.33333       26.85722    
   14.66667       22.56996    
   15.00000       28.63736    
   15.33333       26.03118    
   15.66667       24.18187    
   16.00000       30.71995    
   16.33333       30.99260    
   16.66667       29.50704    
   17.00000       24.82977    
   17.33333       27.98473    
   17.66667       24.29025    
   18.00000       23.68607    
   18.33333       30.46583    
   18.66667       27.44131    
   19.00000       33.19723    
   19.33333       30.34076    
   19.66667       29.44552    
   20.00000       34.15430    
   20.33333       33.19937    
   20.66667       26.77243    
   21.00000       34.56772    
   21.33333       28.33195    
   21.66667       31.27372    
   22.00000       27.62306    
   22.33333       29.43043    
   22.66667       34.14853    
   23.00000       31.89247    
   23.33333       32.29260    
   23.66667       31.87829    
   24.00000       36.59167    
   24.33333       31.47281    
   24.66667       39.11570    
   25.00000       36.50153    
   25.33333       35.55809    
   25.66667       36.35720    
   26.00000       39.48900    
   26.33333       38.53349    
   26.66667       39.73489    
   27.00000       33.35125    
   27.33333       36.93222    
   27.66667       34.66763    
   28.00000       37.51310    
   28.33333       37.17393    
   28.66667       38.25301    
   29.00000       36.70529    
   29.33333       42.15059    
   29.66667       35.47466    
   30.00000       38.76344    
   30.33333       41.67337    
   30.66667       43.02868    
   31.00000       38.27560    
   31.33333       43.20653    
   31.66667       41.07205    
   32.00000       43.39951    
   32.33333       45.71048    
   32.66667       47.05707    
   33.00000       42.68991    
   33.33333       46.26900    
