Frequency (Hz),Trace 1 (V)
0,0.005744274515484695
42.98250440140845,0.005547370248972493
85.9650088028169,0.003701137750729062
128.9475132042253,0.001098433620951772
171.9300176056338,7.013614301105235e-05
214.9125220070422,1.808041261956112e-05
257.8950264084507,2.75611432513356e-05
300.8775308098591,3.258415833350493e-05
343.8600352112676,4.328242462438901e-05
386.842539612676,5.152723423011199e-05
429.8250440140845,5.571188635946398e-05
472.8075484154929,5.461490543100542e-05
515.7900528169014,4.255191574487907e-05
558.7725572183099,3.530740794647631e-05
601.7550616197183,4.449623646451376e-05
644.7375660211267,5.084707447887529e-05
687.7200704225352,4.944165924645744e-05
730.7025748239437,4.499001946252701e-05
773.6850792253521,5.019852130279247e-05
816.6675836267605,5.738613438991755e-05
859.650088028169,5.088954744452447e-05
902.6325924295775,4.17708945143445e-05
945.6150968309859,2.989549285255834e-05
988.5976012323943,1.441576422882424e-05
1031.580105633803,9.228231148352014e-06
1074.562610035211,2.829527070159518e-05
1117.54511443662,4.269082037872764e-05
1160.527618838028,7.209001605853049e-05
1203.510123239437,0.0001350400337824233
1246.492627640845,0.0001755583963260373
1289.475132042253,0.0001758567546472902
1332.457636443662,0.0001546941368080196
1375.44014084507,9.884112588561057e-05
1418.422645246479,3.446216025947039e-05
1461.405149647887,1.538222980850595e-05
1504.387654049296,1.378379124179481e-05
1547.370158450704,8.343143003544481e-06
1590.352662852113,6.153043726629563e-06
1633.335167253521,1.69178644042913e-05
1676.317671654929,1.912701312073339e-05
1719.300176056338,4.674423192671462e-06
1762.282680457746,1.862470221517871e-05
1805.265184859155,2.424070536177563e-05
1848.247689260563,2.273914415607269e-05
1891.230193661972,2.007200991010558e-05
1934.21269806338,1.766964850906951e-05
1977.195202464789,3.047827732885177e-05
2020.177706866197,4.843220013422612e-05
2063.160211267606,5.754761352499382e-05
2106.142715669014,5.500013580503217e-05
2149.125220070423,4.309819240383301e-05
2192.107724471831,2.1161070776073e-05
2235.09022887324,1.774429906392195e-05
2278.072733274648,4.147770834596279e-05
2321.055237676056,4.786825116841122e-05
2364.037742077465,3.851628470988509e-05
2407.020246478873,1.727831662697015e-05
2450.002750880281,1.26927807546626e-05
2492.98525528169,2.656421797609779e-05
2535.967759683098,2.134103058020487e-05
2578.950264084507,1.810674420266383e-05
2621.932768485915,2.136443138572334e-05
2664.915272887324,1.355947505823455e-05
2707.897777288732,5.085074842384346e-06
2750.880281690141,1.754424426703836e-05
2793.862786091549,3.900841828791716e-05
2836.845290492958,5.737309730785243e-05
2879.827794894366,6.811684190681757e-05
2922.810299295775,6.925496600062044e-05
2965.792803697183,5.69507891181712e-05
3008.775308098591,3.750353709724556e-05
3051.7578125,1.413798394835438e-05
3094.740316901408,6.276567664600166e-06
3137.722821302817,2.661397714592656e-05
3180.705325704225,4.358859473815041e-05
3223.687830105634,4.867193785385567e-05
3266.670334507042,4.958728507709122e-05
3309.652838908451,1.945261253647753e-05
3352.635343309859,2.271644139243362e-05
3395.617847711268,4.455120770716419e-05
3438.600352112676,6.499191143262232e-05
3481.582856514084,7.928675954857315e-05
3524.565360915493,6.49479159209216e-05
3567.547865316901,5.01234655898246e-05
3610.53036971831,3.409306330704931e-05
3653.512874119718,1.436433206672731e-05
3696.495378521126,3.001360667396113e-05
3739.477882922535,5.047403845713893e-05
3782.460387323943,6.680059151120175e-05
3825.442891725352,6.057742906830428e-05
3868.42539612676,5.514766755143699e-05
3911.407900528169,4.514764537437876e-05
3954.390404929577,3.94259113870231e-05
3997.372909330986,2.746923224385124e-05
4040.355413732394,3.387838489786094e-05
4083.337918133803,2.633705799996092e-05
4126.320422535211,1.653032633489994e-05
4169.30292693662,6.544187266685203e-06
4212.285431338028,2.364799914831435e-05
4255.267935739436,1.55202985776597e-05
4298.250440140845,2.420977837383183e-05
4341.232944542253,2.533704778849362e-05
4384.215448943662,3.090082695410217e-05
4427.19795334507,6.161376003740341e-05
4470.180457746479,4.195338727447272e-05
4513.162962147887,3.370688746394438e-05
4556.145466549296,2.804976649476855e-05
4599.127970950704,3.090080976987656e-05
4642.110475352112,8.454096881023355e-05
4685.092979753521,4.541416305771715e-05
4728.07548415493,9.13182199756063e-05
4771.057988556337,5.23575659168104e-05
4814.040492957746,4.036552420865743e-05
4857.022997359155,3.228210686016997e-05
4900.005501760563,0.0002941234057523548
4942.988006161971,0.01618160911402779
4985.97051056338,0.3209167883420129
5028.953014964788,1.254222123392282
5071.935519366197,2.067477921113009
5114.918023767606,2.19934516315991
5157.900528169013,2.15919661750653
5200.883032570422,1.574740276075018
5243.865536971831,0.5506703169812222
5286.84804137324,0.0537959948331368
5329.830545774647,0.0002376030909486118
5372.813050176056,2.065705584135177e-05
5415.795554577465,2.951964425108381e-05
5458.778058978873,9.042212105630006e-05
5501.760563380281,1.147604476234599e-05
5544.74306778169,9.395011982067139e-05
5587.725572183098,4.485130952375962e-05
5630.708076584507,8.412038841590343e-05
5673.690580985915,5.239918107361758e-05
5716.673085387323,5.19598398178425e-05
5759.655589788732,1.886195641444011e-05
5802.638094190141,3.389224382296827e-05
5845.620598591549,4.550538946225338e-05
5888.603102992957,6.881691637085711e-05
